# IMAGE #,ID,X0,Y0,X1,Y1,XC,YC,AREA,AR,ANGLE
0,0,82,143,95,175,88,158,180,2,-2
0,1,139,109,176,161,156,134,1339,1,-85
0,0,82,143,95,175,88,158,180,2,-2
0,1,139,109,176,161,156,134,1339,1,-85
0,0,62,142,96,181,79,160,916,1,-70
0,1,252,124,270,142,258,132,137,1,-41
0,2,137,106,177,164,156,134,1669,1,-84
0,0,62,142,96,181,79,160,916,1,-70
0,1,252,124,270,142,258,132,137,1,-41
0,2,137,106,177,164,156,134,1669,1,-84
0,0,62,142,96,181,79,160,916,1,-70
0,1,252,124,270,142,258,132,137,1,-41
0,2,137,106,177,164,156,134,1669,1,-84
0,0,62,142,96,181,79,160,916,1,-70
0,1,252,124,270,142,258,132,137,1,-41
0,2,137,106,177,164,156,134,1669,1,-84
0,0,62,142,96,181,79,160,916,1,-70
0,1,252,124,270,142,258,132,137,1,-41
0,2,137,106,177,164,156,134,1669,1,-84
0,0,61,140,97,183,78,161,1095,1,-70
0,1,247,121,273,157,261,137,560,1,-17
0,2,136,104,178,165,156,134,1868,1,-87
0,0,61,140,97,183,78,161,1095,1,-70
0,1,247,121,273,157,261,137,560,1,-17
0,2,136,104,178,165,156,134,1868,1,-87
0,0,61,140,97,183,78,161,1095,1,-70
0,1,247,121,273,157,261,137,560,1,-17
0,2,136,104,178,165,156,134,1868,1,-87
0,0,61,140,97,183,78,161,1095,1,-70
0,1,247,121,273,157,261,137,560,1,-17
0,2,136,104,178,165,156,134,1868,1,-87
0,0,61,140,97,183,78,161,1095,1,-70
0,1,247,121,273,157,261,137,560,1,-17
0,2,136,104,178,165,156,134,1868,1,-87
